id,filename,Status
100433,Industrial+decolourization+by+laccase+from+ligninolytic+fungi_.txt,Initial
101128,Phenolic+Effluent+Bioremediation+in+ALRs_.txt,Initial
101440,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt,Initial
101663,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,Initial
101968,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,Initial
100473,Comparison+of+ALR+and+Other+Bioreactor+Configurations+for+Phenolic+Removal_.txt,Initial
100753,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,Initial
100771,Synthetic+dye+decolorization+capacity+of+white+rot+fungus+Dichomitus+squalens_.txt,Initial
100952,Textile+dye+degradation+by+white+rot+fungi_.txt,Initial
101266,Biodegradation+of+textile+dyes+by+fungi+isolated+from+North+Indian+field+soil_.txt,Initial
101476,Biodecolourization+of+azo+anthraquinonic+and+triphenylmethane+dyes+by+white+rot+fungi_.txt,Initial
101746,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,Initial
101927,Mikroelem-terhel%C3%A9shatasa+a+repc%C3%A9rekarbon+to+scsernozjomtalajon_.txt,Initial
102230,Oxygen+Mass+Transfer+in+ALRs+with+Different+Spargers_.txt,Initial
102700,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,Initial
102819,Electron+transfer+between+liver+microsomal+cytochrome+b5+and+cytochrome+p450+in+the+azoreductase+reaction_.txt,Initial
102924,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt,Initial
100151,Reactor+Performance+in+Airlift+Reactors_.txt,Initial
100356,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,Initial
101269,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt,Initial
101466,Decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+a+white+rot+Fungi+Thelephora+sp_.txt,Initial
101470,Combined+Membrane-Ring+Sparger+Design+in+Bioreactors_.txt,Initial
101474,Decolorization+of+industrial+dyes+by+lignolytic+microorganisms+isolated+from+composting+environment_.txt,Initial
101611,Studies+on+the+production+of+enzymes+by+white-rot+fungi+for+the+decolourisation+of+textile+dyes_.txt,Initial
101945,Biodegradation+and+biosorption+for+decolorization+of+synthetic+dyes+by+Funalia+trogii_.txt,Initial
102164,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt,Initial
102444,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.txt,Initial
102483,Biodegradation+of+synthetic+dyes+by+Irpex+lacteus+under+various+growth+conditions_.txt,Initial
102552,The+evaluation+of+white+rot+fungi+in+the+decoloration+of+textile+dyes_.txt,Initial
102713,Decolorization+of+azo%2C+triphenylmethane%2C+heterocyclic+and+polymeric+dyes+by+the+lignin+peroxidase+isozymes+from+Phanerochaete+chrysosporium_.txt,Initial
102801,Fungal+dye+decolorization%3A+recent+advances+and+future+potential_.txt,Initial
100095,Evaluation+of+ALRs+in+Bioremediation+of+Phenolic+Effluents_.txt,Initial
100219,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,Initial
100558,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,Initial
100715,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,Initial
100834,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,Initial
100906,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.txt,Initial
101084,Malachite+green+and+crystal+violet+decolorization+by+Ganoderma+lucidum+and+Pleurotus+ostreatus_.txt,Initial
101274,Biodegradation+of+Congo+red+by+Phanerochaete+chrysosporium_.txt,Initial
101986,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.txt,Initial
102001,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,Initial
102079,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.txt,Initial
102154,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt,Initial
102246,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt,Initial
