type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Dichloromethane,Bacteria,0.89 mg/L,Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,5.91,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"60,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,5.75,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"160,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,Not specified,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,690 mg/L,Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,8.3,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"46,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,7.91,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,5.9 mg/L,Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,8.11,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"9,800,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,6.41,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"6,500,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,6.67,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"8,800,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,6.34,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
Dichloromethane,Bacteria,"5,500,000 mg/L",Not specified,Centrifugation,Not specified,Quarterly collection from October 2013 to August 2014,6.05,Not applicable,Whole fungi,Groundwater samples collected for bacterial community analysis
