type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),agitated mode,30°C,24 h,not specified,73 ± 3%,whole fungi,Initial absorbance taken at 0 h and analyzed using UV–Vis spectrophotometer.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),static mode,30°C,24 h,not specified,43 ± 2%,whole fungi,Control with no inoculum showed negligible loss.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),agitated mode,45°C,24 h,7,91 ± 2%,whole fungi,Optimization reduced incubation time by 67%.
crystal violet,Rhodococcus pyridinivorans,0.3 mM,12% (v/v),agitated mode,not specified,12 h,not specified,94 ± 1%,whole fungi,Efficient removal observed at lower dye concentration.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),agitated mode,45°C,8 h,7,95 ± 1%,whole fungi,Achieved within common dye concentration range.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,4% (v/v),agitated mode,not specified,12 h,not specified,67 ± 2%,whole fungi,Decreased removal efficiency observed at higher inoculum concentrations.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,16% (v/v),agitated mode,not specified,12 h,not specified,67 ± 2%,whole fungi,Limitations at high inoculum concentrations noted.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,20% (v/v),agitated mode,not specified,12 h,not specified,49 ± 1%,whole fungi,Ineffective growth at high inoculum levels.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),repeated addition,not specified,10 cycles,not specified,39 ± 1%,whole fungi,Efficiency declined after 4 cycles.
crystal violet,Rhodococcus pyridinivorans,2.4 mM,10% (v/v),agitated mode,not specified,12 h,not specified,8 ± 1%,whole fungi,Lower decolorization at higher dye concentration.
