type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking,30°C,3 days,4.0,100%,whole fungi,Complete decolorization occurred using maltose and ammonium sulfate as carbon and nitrogen sources.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking,30°C,4 days,4.0,89.2%,whole fungi,Maximum decolorization observed at this temperature after 4 days.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking,30°C,3 days,4.5,84.8%,whole fungi,Initial screening study result.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking,35°C,3 days,4.0,Not specified,whole fungi,Decolorization efficiency varies with temperature.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),1 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),2 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),3 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),4 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),6 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),7 mL inoculum,shaking,30°C,10 days,4.5,Not specified,whole fungi,Assessment of varying inoculum size.
