type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Reactive azo dye (C.I. Red 198),not specified,not specified,not specified,not specified,not specified,not specified,not specified,biodegradation observed,not specified,"Biodegradation, decolorization, and biomethanation of dyestuff wastewaters."
Direct Red 81,not specified,not specified,not specified,not specified,not specified,not specified,not specified,decolorization achieved,not specified,Study on effectiveness with a bacterial consortium.
Reactive Blue 222,not specified,not specified,not specified,not specified,not specified,not specified,not specified,biodegradation study,not specified,Bacterial consortium used for biodegradation.
Reactive Red 35,Enterococcus gallinarum,not specified,not specified,not specified,not specified,not specified,not specified,decolorization and degradation,not specified,Toxicity assessment conducted.
Reactive Red HE8B,not specified,not specified,not specified,not specified,not specified,not specified,not specified,completed,not specified,Bacterial transformation studied.
Azo dyes,Fungal consortium,not specified,not specified,not specified,not specified,not specified,not specified,significant decolorization,mycelium,Study involved various azo dyes.
Phenol,not specified,not specified,not specified,not specified,not specified,not specified,not specified,biodegradation observed,not specified,Investigation on phenol degradation.
Textile dyes,Microbial consortium,not specified,not specified,not specified,not specified,not specified,not specified,decolorization achieved,not specified,Study highlighted the microbial action on various textile dyes.
Not specified,Trichoderma spp.,not specified,not specified,not specified,not specified,not specified,not specified,decolorization observed,whole fungi,Biosynthesis of IAA studied alongside dye degradation.
Hydroquinone,Bacterial consortium,not specified,not specified,not specified,not specified,not specified,not specified,efficient degradation,not specified,Bacterial degradation process studied.
