type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,stirring,30°C,24 h,3,71-100%,whole fungi,
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,stirring,30°C,24 h,5,71-100%,whole fungi,
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 μg,stirring,30°C,24 h,7,41-70%,whole fungi,
Basic Green 1 (BG1),Lentinus edodes,0.1 mM,0.6 μg,stirring,30°C,24 h,5,71-100%,whole fungi,
Direct Blue 1 (DB1),Lentinus edodes,0.1 mM,0.6 μg,stirring,30°C,24 h,3,71-100%,whole fungi,
Direct Blue 1 (DB1),Lentinus edodes,0.1 mM,0.6 μg,stirring,30°C,24 h,5,71-100%,whole fungi,
Basic Blue 1 (BB1),Lentinus edodes,0.1 mM,0.6 μg,stirring,30°C,24 h,3,41-70%,whole fungi,
Phthalocyanine Blue (PB),Pleurotus ostreatus,0.1 mM,0.6 μg,stirring,30°C,24 h,3,71-100%,whole fungi,
Phthalocyanine Blue (PB),Pleurotus ostreatus,0.1 mM,0.6 μg,stirring,30°C,24 h,5,71-100%,whole fungi,
Phthalocyanine Blue (PB),Pleurotus ostreatus,0.1 mM,0.6 μg,stirring,30°C,24 h,7,41-70%,whole fungi,
Basic Blue 1 (BB1),Pleurotus ostreatus,0.1 mM,0.6 μg,stirring,30°C,24 h,5,71-100%,whole fungi,
Acid Red 26 (AR26),Agaricus bisporus,0.1 mM,0.6 μg,stirring,30°C,24 h,5,41-70%,whole fungi,
