type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Congo red,A. niger,0.01 %,not specified,stationary,25°C,10 days,not specified,74.07%,whole fungi,
Congo red,F. oxysporum,0.01 %,not specified,stationary,25°C,10 days,not specified,78.9%,whole fungi,
Congo red,T. lignorum,0.01 %,not specified,stationary,25°C,10 days,not specified,35.25%,whole fungi,
Crystal violet,T. lignorum,0.01 %,not specified,stationary,25°C,10 days,not specified,92.7%,whole fungi,
Crystal violet,F. oxysporum,0.01 %,not specified,stationary,25°C,10 days,not specified,53.4%,whole fungi,
Crystal violet,A. niger,0.01 %,not specified,stationary,25°C,10 days,not specified,33.82%,whole fungi,
Methylene blue,T. lignorum,0.01 %,not specified,stationary,25°C,10 days,not specified,48.3%,whole fungi,
Methylene blue,F. oxysporum,0.01 %,not specified,stationary,25°C,10 days,not specified,48.5%,whole fungi,
Methylene blue,A. niger,0.01 %,not specified,stationary,25°C,10 days,not specified,22.44%,whole fungi,
Congo red,A. niger,0.01 %,not specified,shaking,25°C,10 days,not specified,88.7-91.4%,whole fungi,Range provided
Crystal violet,T. lignorum,0.01 %,not specified,shaking,25°C,10 days,not specified,96.6%,whole fungi,
Methylene blue,T. lignorum,0.01 %,not specified,shaking,25°C,10 days,not specified,85.2%,whole fungi,
Congo red,F. oxysporum,0.01 %,not specified,shaking,25°C,10 days,not specified,84.7-91.4%,whole fungi,Range provided
Crystal violet,A. niger,0.01 %,not specified,shaking,25°C,10 days,not specified,78.8%,whole fungi,
Methylene blue,F. oxysporum,0.01 %,not specified,shaking,25°C,10 days,not specified,53.4%,whole fungi,
