type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Acid Black 194,Aspergillus flavus Link,0.05 g/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,85%,mycelium,
Acid Black 194,Aspergillus tamarii Kita,0.05 g/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,91.15%,mycelium,
Acid Black 194,Aspergillus parasiticus Speare,0.05 g/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,85.25%,mycelium,
Acid Black 194,Aspergillus flavus Link,0.05 g/L,2 discs (1 cm in diameter),shaking,24 C,7 days,7,87.4%,mycelium,
Acid Black 194,Aspergillus tamarii Kita,0.05 g/L,10 discs (1 cm in diameter),shaking,24 C,7 days,7,85%,mycelium,
Acid Black 194,Aspergillus parasiticus Speare,0.05 g/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,95.2%,mycelium,
Acid Black 194,Aspergillus flavus Link,25 mg/L,1 disc (1 cm in diameter),shaking,24 C,8 days,7,87.3%,mycelium,
Acid Black 194,Aspergillus tamarii Kita,50 mg/L,1 disc (1 cm in diameter),shaking,24 C,8 days,7,92.5%,mycelium,
Acid Black 194,Aspergillus parasiticus Speare,50 mg/L,1 disc (1 cm in diameter),shaking,24 C,8 days,7,96.4%,mycelium,
Acid Black 194,Aspergillus flavus Link,150 mg/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,21.9%,mycelium,
Acid Black 194,Aspergillus tamarii Kita,150 mg/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,42.7%,mycelium,
Acid Black 194,Aspergillus parasiticus Speare,150 mg/L,1 disc (1 cm in diameter),shaking,24 C,7 days,7,62.6%,mycelium,
Acid Black 194,Aspergillus flavus Link,10 g/L (sucrose concentration),1 disc (1 cm in diameter),shaking,24 C,7 days,7,94.7%,mycelium,
Acid Black 194,Aspergillus tamarii Kita,20 g/L (sucrose concentration),1 disc (1 cm in diameter),shaking,24 C,7 days,7,86.1%,mycelium,
Acid Black 194,Aspergillus parasiticus Speare,2.5 g/L (sucrose concentration),1 disc (1 cm in diameter),shaking,24 C,7 days,7,95.4%,mycelium,
