type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Crystal violet,Kurthia spp,10 ppm,1 g/100ml,not specified,30 °C,24 hours,7,100%,whole fungi,
Crystal violet,Kurthia spp,20 ppm,1 g/100ml,not specified,30 °C,48 hours,7,100%,whole fungi,
Crystal violet,Kurthia spp,30 ppm,1 g/100ml,not specified,30 °C,72 hours,7,98%,whole fungi,
Crystal violet,Kurthia spp,40 ppm,1 g/100ml,not specified,30 °C,72 hours,7,94%,whole fungi,
Malachite green,Kurthia spp,10 ppm,1 g/100ml,not specified,30 °C,24 hours,7,100%,whole fungi,
Malachite green,Kurthia spp,20 ppm,1 g/100ml,not specified,30 °C,24 hours,7,100%,whole fungi,
Malachite green,Kurthia spp,30 ppm,1 g/100ml,not specified,30 °C,48 hours,7,100%,whole fungi,
Malachite green,Kurthia spp,40 ppm,1 g/100ml,not specified,30 °C,48 hours,7,98%,whole fungi,
Brilliant green,Kurthia spp,10 ppm,1 g/100ml,not specified,30 °C,24 hours,7,100%,whole fungi,
Brilliant green,Kurthia spp,20 ppm,1 g/100ml,not specified,30 °C,24 hours,7,100%,whole fungi,
Brilliant green,Kurthia spp,30 ppm,1 g/100ml,not specified,30 °C,48 hours,7,100%,whole fungi,
Brilliant green,Kurthia spp,40 ppm,1 g/100ml,not specified,30 °C,48 hours,7,96%,whole fungi,
Crystal violet,Kurthia spp,1 ppm,1 g/100ml,not specified,30 °C,45 minutes,7,100%,whole fungi,
Crystal violet,Kurthia spp,2 ppm,1 g/100ml,not specified,30 °C,90 minutes,7,100%,whole fungi,
Crystal violet,Kurthia spp,3 ppm,1 g/100ml,not specified,30 °C,135 minutes,7,100%,whole fungi,
Crystal violet,Kurthia spp,4 ppm,1 g/100ml,not specified,30 °C,180 minutes,7,100%,whole fungi,
Malachite green,Kurthia spp,1 ppm,1 g/100ml,not specified,30 °C,45 minutes,7,100%,whole fungi,
Malachite green,Kurthia spp,2 ppm,1 g/100ml,not specified,30 °C,90 minutes,7,100%,whole fungi,
Malachite green,Kurthia spp,3 ppm,1 g/100ml,not specified,30 °C,135 minutes,7,100%,whole fungi,
Malachite green,Kurthia spp,4 ppm,1 g/100ml,not specified,30 °C,180 minutes,7,100%,whole fungi,
Brilliant green,Kurthia spp,1 ppm,1 g/100ml,not specified,30 °C,45 minutes,7,100%,whole fungi,
Brilliant green,Kurthia spp,2 ppm,1 g/100ml,not specified,30 °C,90 minutes,7,100%,whole fungi,
Brilliant green,Kurthia spp,3 ppm,1 g/100ml,not specified,30 °C,135 minutes,7,100%,whole fungi,
Brilliant green,Kurthia spp,4 ppm,1 g/100ml,not specified,30 °C,180 minutes,7,100%,whole fungi,
