type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Crystal violet,Chryseomonas luteola (A3),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,42%,N/A,High contribution of biological processes.
Crystal violet,Pseudomonas aeruginosa (B2),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,40.5%,N/A,High contribution of biological processes.
Crystal violet,Burkholderia cepacia (B3),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,30.3%,N/A,N/A
Brilliant green,Chryseomonas luteola (A3),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,88.6%,N/A,High zootoxicity increase.
Brilliant green,Pseudomonas aeruginosa (B2),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,85.1%,N/A,High zootoxicity increase.
Brilliant green,Burkholderia cepacia (B3),0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,79.9%,N/A,High zootoxicity increase.
Thymol blue,RWP1,0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,94.0%,N/A,High sorption capacity.
Thymol blue,RWP17,0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,95%,N/A,High sorption capacity.
Cresol red,L4,0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,97.9%,N/A,Highest sorption value.
Cresol red,B2,0.05 g/dm3,N/A,N/A,26 °C,7 days,N/A,26.4%,N/A,N/A
