type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,18%,whole fungi,Without HBT
Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,39.6%,whole fungi,Without HBT
Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,100%,whole fungi,With HBT
Neolane yellow,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,100%,whole fungi,With HBT
Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,0%,whole fungi,Without HBT
Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,0%,whole fungi,Without HBT
Neolane pink,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,63.6%,whole fungi,None
Neolane pink,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,86.4%,whole fungi,None
Neolane blue,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,91.5%,whole fungi,None
Neolane blue,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,91.2%,whole fungi,None
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,not specified,30°C,1 day,not specified,54%,whole fungi,None
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,71%,whole fungi,None
Basacryl yellow,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,0%,whole fungi,None
Maxillon blue,Trametes trogii,50 mg l−1,not specified,not specified,30°C,4 days,not specified,0%,whole fungi,None
