type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 35 ºC,7 days,5.0,complete under nitrogen-limiting conditions,mycelium,optimal degradation occurs at room temperature
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 35 ºC,7 days,5.0,complete under nitrogen-limiting conditions,mycelium,optimal degradation occurs at room temperature
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 35 ºC,7 days,5.0,complete under nitrogen-limiting conditions,mycelium,optimal degradation occurs at room temperature
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 35 ºC,7 days,5.0,complete under nitrogen-limiting conditions,mycelium,optimal degradation occurs at room temperature
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 40 ºC,48 hours,not specified,varied degradation rate,mycelium,degradation rates affected by tested temperatures
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 40 ºC,48 hours,not specified,varied degradation rate,mycelium,degradation rates affected by tested temperatures
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 40 ºC,48 hours,not specified,varied degradation rate,mycelium,degradation rates affected by tested temperatures
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static culture,room temperature to 40 ºC,96 hours,not specified,limited degradation,mycelium,degradation rates affected by tested temperatures
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,not specified,"various pH levels (4.5, 5.0, 5.5, 5.9)",48 hours,4.5,higher degradation rate,mycelium,degradation rates varied with pH levels
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,not specified,"various pH levels (4.5, 5.0, 5.5, 5.9)",48 hours,5.0,limited variation in degradation,mycelium,degradation rates varied with pH levels
