type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,30°C,24 h,7,73 ± 3%,whole fungi,Shaking condition showed significantly higher decolorization compared to static condition.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),static,30°C,24 h,7,43 ± 2%,whole fungi,Static condition yielded lower decolorization efficiency.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,45°C,24 h,7,91 ± 2%,whole fungi,Optimized conditions for maximum decolorization.
crystal violet,Rhodococcus pyridinivorans,0.3 mM,10% (v/v),shaking,45°C,12 h,7,94 ± 1%,whole fungi,Efficient decolorization observed even at lower dye concentration.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,45°C,8 h,7,91 ± 2%,whole fungi,Decided as optimal inoculum concentration.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,20% (v/v),shaking,45°C,12 h,7,49 ± 1%,whole fungi,Higher inoculum concentration led to reduced decolorization.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,30°C,12 h,9,62 ± 1%,whole fungi,Decolorization observed across a broad pH range.
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,25°C,24 h,5,68 ± 1%,whole fungi,Effective decolorization at lower temperatures.
crystal violet,Rhodococcus pyridinivorans,0.9 mM,10% (v/v),shaking,45°C,12 h,7,59 ± 1%,whole fungi,Decolorization efficiency decreased at higher dye concentrations.
crystal violet,Rhodococcus pyridinivorans,2.4 mM,10% (v/v),shaking,45°C,24 h,7,8 ± 1%,whole fungi,Significant drop in decolorization ability at very high dye concentrations.
