type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
red dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,24 hours,not specified,62.85%,whole fungi,
red dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,48 hours,not specified,83.52%,whole fungi,
red dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,72 hours,not specified,99.77%,whole fungi,
red dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,24 hours,not specified,50.96%,whole fungi,
red dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,48 hours,not specified,77.87%,whole fungi,
red dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,72 hours,not specified,96.02%,whole fungi,
red dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,24 hours,not specified,38.87%,whole fungi,
red dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,48 hours,not specified,60.55%,whole fungi,
red dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,72 hours,not specified,92.19%,whole fungi,
yellow dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,24 hours,not specified,62.09%,whole fungi,
yellow dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,48 hours,not specified,80.94%,whole fungi,
yellow dye,Aspergillus niger,50 ppm,not specified,not specified,25°C,72 hours,not specified,94.11%,whole fungi,
yellow dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,24 hours,not specified,48.31%,whole fungi,
yellow dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,48 hours,not specified,76.88%,whole fungi,
yellow dye,Aspergillus niger,100 ppm,not specified,not specified,25°C,72 hours,not specified,93.65%,whole fungi,
yellow dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,24 hours,not specified,38.68%,whole fungi,
yellow dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,48 hours,not specified,58.01%,whole fungi,
yellow dye,Aspergillus niger,300 ppm,not specified,not specified,25°C,72 hours,not specified,88.90%,whole fungi,
