type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Congo Red,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,7 days,Not specified,1,mycelium,"Growth reduction: 22%, Laccase activity: 34.8 ± 6.7 mU/cm3"
Methyl Red,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,7 days,Not specified,1,mycelium,"Growth reduction: 42.4%, Laccase activity: 52.2 ± 6.3 mU/cm3"
Trypan Blue,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,7 days,Not specified,1,mycelium,"Growth reduction: 1.3%, Laccase activity: 8.6 ± 6.3 mU/cm3"
Methylene Blue B,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,4,mycelium,"Growth reduction: 26.9%, Laccase activity: 13.8 ± 6.3 mU/cm3"
Neutral Red,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,2,mycelium,"Growth reduction: 17.4%, Laccase activity: 13.5 ± 10.0 mU/cm3"
Toluidine Blue,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,2,mycelium,"Growth reduction: 19.5%, Laccase activity: 8.9 ± 6.1 mU/cm3"
Bengal Rose,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,1,mycelium,"Growth reduction: 50.6%, Laccase activity: 75.0 ± 6.1 mU/cm3"
Eosin Y,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,2,mycelium,"Growth reduction: 38.7%, Laccase activity: 9.2 ± 6.1 mU/cm3"
Phloxine,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,1,mycelium,"Growth reduction: 36.8%, Laccase activity: 14.1 ± 7.3 mU/cm3"
Brilliant Green,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,3,mycelium,"Growth reduction: 90.3%, Laccase activity: 292.0 ± 6.3 mU/cm3"
Crystal Violet,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,3,mycelium,"Growth reduction: 84.8%, Laccase activity: 143.5 ± 6.2 mU/cm3"
Fuchsin,Grammothele subargentea,0.01%,Not specified,Not specified,25 ± 1.5 °C,21 days,Not specified,2,mycelium,"Growth reduction: 23.9%, Laccase activity: 55.9 ± 6.0 mU/cm3"
Not specified,Grammothele subargentea,Not specified,Not specified,Not specified,25 ± 1.5 °C,15 days,Not specified,Not applicable,mycelium,"Laccase activity: 291.9 ± 63.1 mU/g wood, Wood mass loss: 5.5 ± 3.3%"
Not specified,Grammothele subargentea,Not specified,Not specified,Not specified,25 ± 1.5 °C,30 days,Not specified,Not applicable,mycelium,"Laccase activity: 336.6 ± 25.4 mU/g wood, Wood mass loss: 8.2 ± 5.6%"
