type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,30°C,24 h,7,73 ± 3%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),static,30°C,24 h,7,43 ± 2%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,45°C,24 h,7,91 ± 2%,whole fungi,optimized culture conditions
crystal violet,Rhodococcus pyridinivorans,0.3 mM,12% (v/v),shaking,30°C,12 h,7,94 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,45°C,8 h,7,95 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.9 mM,10% (v/v),shaking,30°C,12 h,7,59 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,2.4 mM,10% (v/v),shaking,30°C,12 h,7,8 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,4% (v/v),shaking,30°C,12 h,7,21 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,20% (v/v),shaking,30°C,12 h,7,49 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,30°C,8 h,4,TBD,whole fungi,
