type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,30°C,24 h,7,73 ± 3%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),static,30°C,24 h,7,43 ± 2%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,45°C,24 h,7,91 ± 2%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.5 mM,10% (v/v),shaking,45°C,12 h,7,94 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.6 mM,12% (v/v),shaking,45°C,8 h,7,91 ± 2%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,0.9 mM,10% (v/v),shaking,45°C,12 h,7,59 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,1.2 mM,10% (v/v),shaking,45°C,12 h,7,37 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,1.5 mM,10% (v/v),shaking,45°C,12 h,7,23 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,1.8 mM,10% (v/v),shaking,45°C,12 h,7,11 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,2.1 mM,10% (v/v),shaking,45°C,12 h,7,8 ± 1%,whole fungi,
crystal violet,Rhodococcus pyridinivorans,2.4 mM,10% (v/v),shaking,45°C,12 h,7,8 ± 1%,whole fungi,
