type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
orange G,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30°C,9 days,N/A,33.3%,mycelium,
congo red,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30°C,8 h,N/A,97.1%,mycelium,
amido black 10B,Thelephora sp.,25 µM,10^5 spores/ml,shaking,30°C,24 h,N/A,98.8%,mycelium,
orange G,Thelephora sp.,50 µM,N/A,N/A,N/A,N/A,N/A,19%,N/A,removed by laccase at 15 U/ml
orange G,Thelephora sp.,50 µM,N/A,N/A,N/A,N/A,4.5,13.5%,N/A,removed by LiP at same concentration
orange G,Thelephora sp.,50 µM,N/A,N/A,N/A,N/A,4.5,10.8%,N/A,removed by MnP at the same concentration
congo red,Thelephora sp.,50 µM,N/A,N/A,N/A,N/A,4.5,12.0%,N/A,recorded by laccase enzyme at 5 U/ml
amido black 10B,Thelephora sp.,25 µM,N/A,N/A,N/A,N/A,4.5,15.0%,N/A,recorded by laccase enzyme
dye industry effluent,Thelephora sp.,N/A,10^5 spores/ml,N/A,39°C,3 days,4.5,61%,mycelium,maximum color removal in batch mode
dye industry effluent,Thelephora sp.,N/A,10^5 spores/ml,N/A,39°C,7 days,4.5,50%,mycelium,maximum color removal in continuous mode
dye industry effluent,Thelephora sp.,N/A,N/A,N/A,37°C,1 h,N/A,15%,N/A,removed by laccase at 15 U/ml
